AreaKey,ID,X,Y,Intercept,PctFB,PctBlack,PctRural
13001,133,941396.6,3521764.0,-0.23204579046468474,0.22820815148469148,0.05697445147066274,-0.4264946069063959
13003,158,895553.0,3471916.0,-0.2792238015541664,0.16511734153427748,0.09516542293740746,-0.4122634827059708
13005,146,930946.4,3502787.0,-0.2489440016969561,0.20466991234027615,0.07121197045156252,-0.4257363816387728
13007,155,745398.6,3474765.0,-0.23036768363053692,0.1527492972011669,0.051037900882066015,-0.3593865947455491
13009,79,849431.3,3665553.0,0.19066196284817757,0.7162754073628359,-0.16920186490314762,-0.2409175251121044
13011,23,819317.3,3807616.0,0.1631633036811357,0.7217186979859436,-0.08400430689003807,-0.3005379596795463
13013,33,803747.1,3769623.0,0.16606586338511273,0.7170966433442432,-0.0922380514091129,-0.29633022461815894
13015,24,699011.5,3793408.0,0.12335740923722724,0.7158414860674543,-0.04894647879035335,-0.2672957405844876
13017,138,863020.8,3520432.0,-0.2692157793870832,0.20975298013977944,0.09585988365988511,-0.37247221184037466
13019,153,859915.8,3466377.0,-0.28700586504178377,0.15228428559161855,0.09886707958466028,-0.39369058583593425
13021,85,809736.9,3636468.0,0.1568141671069103,0.5989062575466919,-0.1610209051969373,-0.26529281677666267
13023,100,844270.1,3595691.0,-0.06758650198444452,0.41596720550417143,-0.028764069443659637,-0.3175257308105857
13025,159,979288.9,3463849.0,-0.2448604702242548,0.18238644429422973,0.0637541025913806,-0.45146350611132136
13027,169,827822.0,3421638.0,-0.29442963898440017,0.12673270476023288,0.09967164494784482,-0.3901250632927786
13029,118,1023145.0,3554982.0,-0.16288288129879774,0.27611671719305464,-0.005848335513625053,-0.44295350385068016
13031,97,994903.4,3600493.0,-0.09585975206438563,0.3695376921957326,-0.0502691998048101,-0.40230194704376815
13033,71,971593.8,3671394.0,0.07974452894026805,0.5911607312006021,-0.14484444415854972,-0.30787984716487765
13035,65,782448.2,3684504.0,0.1922342808089637,0.6796772013916335,-0.14863280039726168,-0.26847421011225275
13037,149,724741.2,3492653.0,-0.17523465374650432,0.17925334812696408,0.015100424257442065,-0.3633072933246736
13039,165,1008480.0,3437933.0,-0.24334037703188488,0.17283797221208844,0.06124295863444933,-0.46097151768480094
13043,102,964264.9,3598842.0,-0.10036718114834102,0.3783781151188593,-0.04326886444399457,-0.38893945488068693
13045,46,678778.6,3713250.0,0.11409443422673868,0.6754361745276649,-0.05953218625512154,-0.2602385446262476
13047,5,670055.9,3862318.0,0.11880665086910638,0.7236286138849146,-0.03774818455858679,-0.26445895547353937
13049,170,962612.3,3432769.0,-0.26140439046071073,0.1581212167879045,0.07714826086106079,-0.44811630571764255
13051,119,1059706.0,3556747.0,-0.15282576103065376,0.27678627289458546,-0.015451292822787543,-0.44973456890593144
13053,103,704959.2,3577608.0,0.030197752377273172,0.3370528519254927,-0.09305741265138445,-0.34304921806706523
13055,17,653026.6,3813760.0,0.11304399003765694,0.7157700099309808,-0.03733378927948942,-0.25982376899938264
13057,25,734240.9,3794110.0,0.1354447526856241,0.7216074693929844,-0.05658500213426411,-0.27501344756749396
13059,38,832508.6,3762905.0,0.18522655340971572,0.7139702739648373,-0.11364616211513769,-0.30804812816544686
13061,144,695793.9,3495219.0,-0.13667753349093195,0.19207024067899955,-0.010058911756044083,-0.3700808833427908
13063,54,745538.8,3711726.0,0.15070487552815,0.6892528524106163,-0.09546871575261137,-0.27429726052531117
13065,164,908046.1,3428340.0,-0.2819791544566292,0.14186479382798595,0.09412639390209132,-0.42607959360457254
13067,36,724646.8,3757187.0,0.13228779425328177,0.7085316070484304,-0.06368225272101218,-0.27195258422554314
13069,143,894463.9,3492465.0,-0.27217663232661216,0.18343509781025813,0.09160901376893062,-0.40642427445337986
13071,161,808691.8,3455994.0,-0.29157372197008935,0.1383502053501044,0.0983080965126354,-0.3718326990325584
13073,52,942527.9,3722100.0,0.17330801914725755,0.690534993173786,-0.16958005993848882,-0.28240648006691216
13075,160,839816.1,3449007.0,-0.2896110498330967,0.1396292072109247,0.097908657999143,-0.388867115073579
13077,62,705457.9,3694344.0,0.12802201694960402,0.6610427979987867,-0.08152199693330743,-0.2650990284110891
13079,89,783416.5,3623343.0,0.1295989245491857,0.5295087564958699,-0.14211903762457445,-0.28010865968095044
13081,128,805648.4,3537103.0,-0.20646268193461845,0.22767101471775256,0.048746402361152213,-0.34199969384694856
13083,9,635964.3,3854592.0,0.11241428635029731,0.7207070350153139,-0.032720044734621624,-0.2592074505601158
13085,16,764386.1,3812502.0,0.1426051710255052,0.7235223551512832,-0.06246210107777481,-0.28251192245585866
13087,166,732628.4,3421800.0,-0.25735951493565246,0.1325116232039711,0.06867430121969989,-0.369703177490973
13089,41,759231.9,3735253.0,0.1523679608870085,0.7043972345959583,-0.08734370965893026,-0.28070463463066364
13091,109,860451.4,3569933.0,-0.20069901106897856,0.3042694151464893,0.05590838936716395,-0.34583090544100314
13093,116,800031.3,3564188.0,-0.12170151343191479,0.2939423509179162,-0.0015121666372800106,-0.32401037500377716
13095,148,764116.9,3494367.0,-0.2257380379404474,0.1681667970296553,0.05075962775205898,-0.3558015292482839
13097,47,707288.7,3731361.0,0.12608445750448502,0.6941243302395622,-0.0653252815143512,-0.2665704301870275
13099,152,703495.1,3467152.0,-0.19058170438757868,0.16006359778500936,0.022923393331896323,-0.3672042602815869
13101,173,896654.0,3401148.0,-0.28672232562979466,0.12913596115880985,0.09627730250985878,-0.42376982305590755
13103,99,1031899.0,3596117.0,-0.10387762008387935,0.34497630218847963,-0.04868725968621384,-0.41987077181617094
13105,28,879541.2,3785425.0,0.1898525116977683,0.7054628899855058,-0.12514511483120908,-0.31972598980800626
13107,90,943066.2,3616602.0,-0.045119624810044674,0.4607392407760649,-0.07191116833475493,-0.34985833817870143
13109,117,981727.8,3571315.0,-0.15483906144119697,0.30132699105255895,-0.009301076869900638,-0.4224926097929098
13111,4,739255.8,3866604.0,0.13346173991629456,0.7286990758702809,-0.04839864418330561,-0.2761815936802778
13113,58,731468.7,3700612.0,0.144071236155613,0.6759473485192408,-0.0949975931482644,-0.2696504181582763
13115,18,662257.4,3789664.0,0.11349607641700223,0.7113876441688523,-0.040981983748706034,-0.26013311255872074
13117,26,765397.3,3789005.0,0.14451605380886698,0.7188291958703698,-0.06879530315673997,-0.2829417831939537
13119,20,845701.3,3813323.0,0.16928575146277078,0.717633948941773,-0.09362274949273738,-0.3078638339587589
13121,31,733728.4,3733248.0,0.1389996049373449,0.7008475226586991,-0.07599473050236012,-0.2730036110021165
13123,10,732702.3,3844809.0,0.13245736566614738,0.7265387761079757,-0.04942924435930334,-0.2749705159621245
13125,69,908386.8,3685752.0,0.17387801992491284,0.7209251294456865,-0.1672967378350201,-0.2518451413552584
13127,156,1023411.0,3471063.0,-0.2275241014076402,0.1964780903368954,0.04820579253937099,-0.46362231663334696
13129,15,695325.1,3822135.0,0.12280108664765872,0.7199708059333818,-0.045183058853803866,-0.26756677361804554
13131,167,765058.1,3421817.0,-0.2791242179690307,0.12682664215802955,0.08475635445232531,-0.3715809130234208
13133,49,855577.3,3722330.0,0.20524370759000563,0.7186679667347254,-0.15216818472967628,-0.2887286647749184
13135,32,772634.6,3764306.0,0.1517148257420795,0.7142167979296292,-0.07961034052592081,-0.2854330020958092
13137,11,818917.1,3839931.0,0.15619519974177878,0.7249785067737151,-0.07416205365744642,-0.2973904648505461
13139,21,794419.5,3803344.0,0.1539619536470203,0.722592392787074,-0.07494647896063428,-0.2916209621940753
13141,64,873518.8,3689861.0,0.20241748964123785,0.7411107965755562,-0.1686350671874397,-0.24868451717952308
13143,44,665933.8,3740622.0,0.11125334308335492,0.6909838404402325,-0.048777039551289716,-0.25912539359137227
13145,88,695500.6,3624790.0,0.1112936758848499,0.492630321549727,-0.10679333113597875,-0.29876027059874677
13147,22,870749.9,3810303.0,0.17690495007219703,0.7114429562330358,-0.10650316028784122,-0.31520883300247887
13149,66,675280.4,3685569.0,0.11268474763956639,0.6423474068566141,-0.06783996677189047,-0.26169479559681297
13151,55,763488.4,3699716.0,0.17041468541149488,0.6849073832427536,-0.11951863408619877,-0.2753060703047635
13153,95,814118.9,3590553.0,-0.0376466487311716,0.3960969271669175,-0.04819460255047005,-0.30852118161415293
13155,145,855461.8,3506293.0,-0.2768045896474202,0.18733715870093895,0.09725403468162075,-0.3752739954729061
13157,27,815753.1,3783949.0,0.1687231704426956,0.7191945872844621,-0.09200471547108738,-0.30129356878116975
13159,61,807249.1,3695092.0,0.19988326372847756,0.7007623706316735,-0.15087661145013423,-0.27317998331157095
13161,131,915741.9,3530869.0,-0.23894638357966577,0.2361781214723434,0.06642462828458659,-0.4078345560340384
13163,70,924108.1,3668080.0,0.12784800597635446,0.6750910665083997,-0.1545443359767804,-0.26445474691102633
13165,84,970465.7,3640263.0,0.007847517716841708,0.5109702315194047,-0.10739752324336627,-0.34000298166612536
13167,91,908636.7,3624562.0,0.013242557891493853,0.5563167858623164,-0.09093423267874375,-0.3034931302213709
13169,80,821367.1,3660143.0,0.19044667710126498,0.6780123919396073,-0.17044938620421266,-0.2511279315968036
13171,77,766461.7,3663959.0,0.17506238373294147,0.629262244756303,-0.14825534917418928,-0.27121171868086075
13173,163,873804.3,3439981.0,-0.28660562284400737,0.14068158542326095,0.09680909121325613,-0.407826113616486
13175,93,884830.4,3599291.0,-0.08743882447904146,0.4372411673355922,-0.024936252499397977,-0.3294207598570783
13177,136,770455.5,3520161.0,-0.18842721095180026,0.20057301747217496,0.02900389460019045,-0.35020663211735326
13179,127,1014742.0,3537225.0,-0.1857624981486503,0.25196748175058714,0.012514158443591829,-0.4488159623552426
13181,40,919396.5,3752562.0,0.20143713341069283,0.702652444991929,-0.16133570170633138,-0.30285059653897073
13183,129,1004544.0,3517834.0,-0.20585009510777638,0.232416837939249,0.03026423260167561,-0.45137573528595454
13185,172,864781.1,3419313.0,-0.2905306190349104,0.13047888218081413,0.09852898612824905,-0.4071959942625226
13187,13,772600.0,3832429.0,0.1445140500560693,0.7273674093970975,-0.06029009688936124,-0.2846458840816173
13189,53,917730.9,3716368.0,0.19004364991893577,0.7146271180783177,-0.16904178846812398,-0.2723205403964747
13191,147,1030500.0,3500535.0,-0.20814289070878347,0.22095639228608419,0.03144732684827739,-0.4605981064098939
13193,105,777055.3,3584821.0,0.0008239256053533452,0.3766451337281752,-0.07382610845479069,-0.3115929833365552
13195,29,848638.8,3785405.0,0.17954050090348492,0.7135379249056639,-0.10820381456479503,-0.31108131214168183
13197,101,732876.8,3584393.0,0.03668795167297114,0.3638756396560999,-0.09524137013840092,-0.3273337042443896
13199,73,715359.8,3660275.0,0.1401713530009941,0.6007480013984888,-0.11079426258107213,-0.2718880866568949
13201,162,716369.8,3451034.0,-0.22705922664992345,0.14116940902234218,0.0461361774719768,-0.3634295842917793
13205,157,766238.6,3453930.0,-0.2641804313251919,0.1410784714014669,0.07536232991048156,-0.3653670872156149
13207,78,790338.7,3660608.0,0.1825308244312906,0.6418918147711987,-0.1602666382852361,-0.2657615682849315
13209,112,920887.4,3568473.0,-0.18235843818306463,0.3016247736127927,0.020220857823923275,-0.3924906795340182
13211,45,825920.1,3717990.0,0.2067919400138819,0.7160475209044996,-0.14566821469806504,-0.2893453247393574
13213,3,707834.3,3854188.0,0.12764086913560396,0.7284894752425612,-0.04231594328432425,-0.2701148353277371
13215,98,700833.7,3598228.0,0.0734529224385038,0.4018225371938291,-0.10494563725778458,-0.32653241450984627
13217,50,793263.9,3719734.0,0.1811040768536324,0.7032649766921604,-0.11982897963793047,-0.288099064046704
13219,42,830735.9,3750903.0,0.1919970775442478,0.713303950994044,-0.12181188269938155,-0.30711325224331476
13221,37,863291.8,3756777.0,0.198414060923127,0.708967496779266,-0.13529096016309122,-0.3126191514644025
13223,35,695329.2,3758093.0,0.121597389667133,0.7074979501940866,-0.0533352405570261,-0.2644467570030309
13225,94,798061.4,3609091.0,0.07117067217504397,0.47856387562445174,-0.11237480496429533,-0.2906592093182506
13227,19,733846.7,3812828.0,0.13438645815343092,0.724079115731101,-0.05328659175046542,-0.2751355746722808
13229,151,953533.8,3482044.0,-0.24754361683332204,0.1902782763935364,0.06743224621820265,-0.44001572507446607
13231,76,744180.8,3665561.0,0.1610755515335005,0.6208288522494847,-0.1319355908020925,-0.2723115564554031
13233,34,668031.4,3764766.0,0.11342934857611259,0.7025377974088819,-0.045681757883296814,-0.2604422589609165
13235,111,833819.6,3567447.0,-0.1726383150258483,0.3045383576087646,0.03875095151867204,-0.33079796525683436
13237,63,840169.1,3695254.0,0.2083484670859437,0.7229147736795439,-0.16344948230145825,-0.26382393487497857
13239,130,686875.4,3524124.0,-0.07591665064851952,0.22280374481364307,-0.04615558159149237,-0.367827715858836
13241,1,824645.5,3864805.0,0.15313888009765658,0.7259677016150018,-0.07060642845936178,-0.2964118248991527
13243,134,712437.1,3519627.0,-0.11030360120907012,0.21239353646133607,-0.02519001288605075,-0.3627913621077476
13245,59,954272.3,3697862.0,0.13974068233141299,0.6613010592210256,-0.16502353801997363,-0.2831833956326607
13247,48,777759.0,3729605.0,0.16608448198543074,0.7046832126437768,-0.10143271660711703,-0.28586956411186554
13249,110,752973.1,3570222.0,-0.022414161528354567,0.3176026670599555,-0.0669640456275483,-0.33131080106931354
13251,81,1004028.0,3641918.0,-0.012308710379973622,0.4638138864649234,-0.10419570524603826,-0.36433727043711805
13253,171,704495.6,3422002.0,-0.24282594456390993,0.1292779659261291,0.055957411805597074,-0.3661256649125772
13255,67,754916.2,3685029.0,0.1686479537893256,0.6635584486605974,-0.12800839382675383,-0.27106081265607573
13257,14,842085.9,3827075.0,0.16431190998086598,0.7199247470504535,-0.0869407452072171,-0.3049597371768083
13259,120,703256.8,3552857.0,-0.02613713400954629,0.27253209514572135,-0.07018935605957023,-0.35661879334196733
13261,122,763457.1,3551752.0,-0.09476493879426526,0.2667752009291227,-0.027093261040661558,-0.3403037248721486
13263,87,734217.9,3623162.0,0.1258400511695256,0.5085680397085294,-0.12476950010262026,-0.2872461084664305
13265,51,884376.9,3717493.0,0.20643283537673945,0.7273282014149886,-0.16346934928770246,-0.27596993299655487
13267,114,963427.8,3560039.0,-0.1796857864340956,0.28056404309075694,0.011071820622426705,-0.42238967096447694
13269,92,759410.8,3608179.0,0.09583396583028944,0.46713152796626595,-0.1197920005263995,-0.2925620810965949
13271,125,882069.4,3534470.0,-0.2498406259798907,0.2367496892344412,0.08095965095951417,-0.38047792651745665
13273,132,743031.8,3522636.0,-0.14149157735318751,0.2112211314908963,-0.0037568234138114723,-0.3552842738624646
13275,168,795506.2,3421725.0,-0.29592669519464726,0.12320249072515595,0.09884200779869227,-0.37693285779764
13277,150,831682.3,3487715.0,-0.2823051608286989,0.16313482776278843,0.09604230218731342,-0.37100554228807675
13279,113,941734.4,3567586.0,-0.17386626102528083,0.29920959762365373,0.010112413323616246,-0.4061725262671811
13281,2,797981.7,3872640.0,0.14653201811905903,0.7290893943716462,-0.06113222052022676,-0.2891877085882048
13283,107,919077.6,3595170.0,-0.11336121199701402,0.3902646050952006,-0.024345294280548383,-0.3623152225992186
13285,75,682616.8,3660254.0,0.11766980768238122,0.5963948014216427,-0.08513571679264947,-0.26878782913553034
13287,137,819399.6,3514927.0,-0.25744047724060676,0.19145098321666976,0.08125191500752026,-0.3547965737700046
13289,86,832935.0,3623868.0,0.09865194786063373,0.5824078569259247,-0.1276800211853893,-0.2705374814283122
13291,7,777040.1,3858779.0,0.14306254822755415,0.729133038517833,-0.05744138807783261,-0.28472150909724847
13293,83,752165.2,3639192.0,0.15264366726405593,0.560416625238595,-0.14049908539461017,-0.27787166191880286
13295,8,658870.4,3842167.0,0.11602845307370925,0.7217675410624604,-0.0362539768334951,-0.26178556689862137
13297,43,800384.3,3742691.0,0.17458385232038373,0.7113035263495404,-0.10622249047704992,-0.29449009347589844
13299,154,938349.6,3446675.0,-0.26521208898524035,0.16001795242975403,0.08068927161974723,-0.437555587805857
13301,56,902471.1,3699878.0,0.19197697506071268,0.729977372601906,-0.16924107431779317,-0.2567680421002976
13303,72,894704.3,3648583.0,0.12212028080236918,0.6869669791003657,-0.14181048384511055,-0.25266057081408916
13305,140,986832.8,3494323.0,-0.22854044180142333,0.2084107154056277,0.05048507041387336,-0.4507382080977443
13307,121,731576.3,3544716.0,-0.07228922131198781,0.25469696679030546,-0.04420550495723477,-0.35237852408271747
13309,115,898776.3,3563384.0,-0.2080815431404612,0.28658789406802354,0.04504184962617876,-0.37900132382481844
13311,12,796905.6,3841086.0,0.1501861351018348,0.7272736518333208,-0.06624495196816424,-0.2909729971590191
13313,6,686891.4,3855274.0,0.12224789343084072,0.7253715119617404,-0.039997123215069055,-0.26669491705695925
13315,124,838551.5,3538547.0,-0.2443326802527899,0.2355725648543198,0.08187879585914179,-0.34820656440682285
13317,39,891228.5,3749769.0,0.20530292617123946,0.7077297971023189,-0.15296797477498936,-0.3073371316700689
13319,82,858796.9,3637891.0,0.13180852744687183,0.672883477514829,-0.14016219910025904,-0.2488649352706112
13321,139,801018.1,3487328.0,-0.27323956126131327,0.15841475425036727,0.0867936237006586,-0.3594922378931841
