lambda,accepted_iterations,stop_reason,changed_counties_from_initial,r3_to_r4_from_initial,boundary_edges,rss,rmse,mae,r2,trace_hat,objective,R1_n,R2_n,R3_n,R4_n,R5_n,R6_n
0.0,5,no_label_changes,46,6,188,28.296995145864642,0.42186315663964574,0.2637692761564001,0.8220314770700337,39.97760238432065,28.296995145864642,45,11,16,29,32,26
0.005,3,global_objective_guard_rejected_sweep,41,4,171,28.716223909838618,0.4249766838579317,0.27493425652396297,0.8193948181771156,39.80594833702459,29.57122390983862,47,11,15,23,36,27
0.01,5,no_label_changes,41,5,164,29.102143692727374,0.42782280241792353,0.26799039054370805,0.8169676497312743,39.323652992274816,30.742143692727375,44,11,12,27,38,27
0.02,5,no_label_changes,40,5,164,28.2170337087188,0.421266686090358,0.26583498026435215,0.8225343791904478,39.452671269127336,31.497033708718803,44,11,13,26,38,27
0.05,3,no_label_changes,36,5,113,37.98060092498951,0.48874502957140314,0.3045812906516749,0.7611282960692484,38.1368274835972,43.63060092498951,62,14,13,24,20,26
0.1,3,global_objective_guard_rejected_sweep,32,6,92,37.7312630863743,0.4871381132941024,0.30412600137895063,0.7626964585762623,39.54584176534328,46.9312630863743,61,11,13,30,18,26
0.2,3,global_objective_guard_rejected_sweep,37,6,87,37.50947828217361,0.4857043014441435,0.30644883687392666,0.7640913315586566,41.833142371488066,54.90947828217361,53,8,16,42,22,18
0.5,6,global_objective_guard_rejected_sweep,33,6,71,40.112558266368126,0.502275064749368,0.3213398500321339,0.7477197593310181,42.445109808872,75.61255826636813,62,14,12,38,16,17
1.0,8,no_label_changes,35,11,72,41.20062506751219,0.5090416761892498,0.3256551225379652,0.740876571902439,40.6905596659233,113.20062506751219,62,19,6,38,17,17
