iteration,accepted,label_changes_from_previous,rss,rmse,mae,r2,trace_hat,boundary_edges,objective,regime_sizes
0,True,0,43.10007063605059,0.5206434736379855,0.344973308161647,0.7289303733581725,39.70185564133625,102,145.1000706360506,53;19;17;22;27;21
1,True,16,42.114895986638736,0.514658682686297,0.3391677435778501,0.7351264403356055,41.029610558023926,95,137.11489598663874,56;19;16;24;23;21
2,True,10,41.500471652268956,0.5108906494296481,0.3346016605943011,0.7389907443253525,41.42410321561171,82,123.50047165226896,55;19;14;30;23;18
3,True,5,41.399609472095044,0.5102694409233424,0.3330419009673705,0.7396250976597796,42.09602549805595,78,119.39960947209505,56;19;13;33;21;17
4,True,3,41.333587432619815,0.5098624024063219,0.3315384761299472,0.740040330612454,41.98846240689579,77,118.33358743261982,59;19;13;33;18;17
5,True,2,41.178897463048635,0.5089074341146543,0.32960373558679795,0.7410132235028388,42.0848475796095,75,116.17889746304863,59;19;13;33;18;17
6,True,4,41.09873821589964,0.5084118707196725,0.32758154949114215,0.7415173697113231,41.61506628815262,74,115.09873821589963,62;19;11;34;16;17
7,True,3,41.21422127049378,0.5091256611173091,0.32686508410107484,0.740791061191863,41.61378980912451,73,114.21422127049378,61;19;9;36;17;17
8,True,3,41.20062506751219,0.5090416761892498,0.3256551225379652,0.740876571902439,40.6905596659233,72,113.20062506751219,62;19;6;38;17;17
