regime,n,rgwr_bandwidth,rgwr_trace_hat,rgwr_rss,rols_trace_hat,rols_rss,rols_rmse,rols_r2
1,53,53,6.714990349411398,29.375600565894757,4.000000000000001,32.152705655835426,0.7788804938467826,0.671152801624141
2,19,19,6.78337607633992,2.157959495506421,3.9999999999999987,2.9385938835849887,0.39327196185102914,0.3439647789840059
3,17,17,6.031842723425554,1.6212531599201758,4.0,2.2806840215175415,0.3662756934587374,0.771718057140917
4,22,22,6.448014222289153,5.5617849779983155,3.9999999999999982,5.888186826422275,0.5173440400221762,0.15510065223437963
5,27,27,6.812360141045838,2.6125991369208315,4.000000000000001,2.8052879120719263,0.32233453476002266,0.8132969647515076
6,21,21,6.911272128824389,1.7708732998101018,3.999999999999999,2.9428361009410016,0.37434616657014397,0.7614738652811244
