regime,n,selected_bandwidth,bandwidth_fraction_of_regime,rss,rmse,mae,r2,trace_hat,aicc
1,53,53,1.0,29.375600565894747,0.7444841263927957,0.49171404924636364,0.6995561104528829,6.714990349411398,137.59722373503993
2,19,19,1.0,2.157959495506421,0.3370115955764275,0.2920117719085444,0.5182398484914106,6.78337607633992,41.53913163641365
3,17,17,1.0,1.6212531599201756,0.308816827482702,0.22086491346533643,0.837722885888093,6.031842723425554,34.952734255437846
4,22,22,1.0,5.561784977998316,0.5028005649269226,0.36028398607754325,0.2019362430490923,6.448014222289151,56.362471334015964
5,27,27,1.0,2.6125991369208315,0.3110674058738199,0.25973078083884255,0.826121166867879,6.812360141045838,36.759698300646214
6,21,21,1.0,1.7708732998101013,0.2903916320952744,0.21657168648175465,0.8564651415192652,6.911272128824389,35.14759594763898
