term,group,n,mean_abs_gr_minus_gwr,mean_abs_gr_minus_mgwr,mean_abs_mgwr_minus_gwr
Intercept,boundary,68,0.18266294386698376,0.17625151349811685,0.040248951877788784
Intercept,interior,91,0.1120113675072386,0.09622605576017358,0.034412818336998614
PctFB,boundary,68,0.2409754463494551,0.2288611330546744,0.030469781458762706
PctFB,interior,91,0.15357666544012416,0.15519412426602255,0.023197801223766218
PctBlack,boundary,68,0.09453923158136973,0.0964469533488112,0.06182713410905539
PctBlack,interior,91,0.06651850410538562,0.06616894853174642,0.03452770982955689
PctRural,boundary,68,0.18160589707777924,0.1807478476450943,0.049528915676662136
PctRural,interior,91,0.1388878966955907,0.14749663054438253,0.042879786270939586
