AreaKey,initial_regime,final_regime_lambda05,changed_from_initial,final_boundary_county,gwr_fitted_z,gwr_residual_z,mgwr_fitted_z,mgwr_residual_z,grgwr_fitted_z,grgwr_residual_z,gwr_Intercept,mgwr_Intercept,grgwr_Intercept,gwr_PctFB,mgwr_PctFB,grgwr_PctFB,gwr_PctBlack,mgwr_PctBlack,grgwr_PctBlack,gwr_PctRural,mgwr_PctRural,grgwr_PctRural,abs_resid_improvement_gr_vs_gwr,abs_resid_improvement_gr_vs_mgwr
13001,6,6,False,True,-0.4323653038178024,-0.051368938931266706,-0.3637625481232107,-0.1199716946258584,-0.5795872562647302,0.09585301351566106,-0.23368944157763988,-0.1972485126659758,-0.38002844217128545,0.22759084017544634,0.2945563703880169,0.0005587687583025192,0.05840648303496879,-0.0452779406159622,0.26831123691205094,-0.4267259297329667,-0.3312434874416379,-0.48158136028300486,-0.04448407458439435,0.02411868111019734
13003,6,6,False,True,-0.6772791439851273,-0.12340734298276856,-0.5286270579213066,-0.2720594290465893,-0.812866873291558,0.01218038632366214,-0.2794537804109452,-0.2533938093747115,-0.4634722562279948,0.16512073506786137,0.2280226838218059,0.196586194832861,0.09541378134300037,-0.026660170446639,0.13666159637083308,-0.41221177635617107,-0.3253123213265224,-0.37757082528050745,0.11122695665910642,0.25987904272292717
13005,6,6,False,True,-0.30950843562779695,-0.45596113531578497,-0.2856466371676082,-0.4798229337759737,-0.5261969280367602,-0.2392726429068217,-0.2500545071516397,-0.2197766110257747,-0.4625444590473802,0.2047839017894346,0.2795719346534039,0.03935643383863442,0.07240988220616579,-0.0373362504949525,0.20931740561928724,-0.4258329865258647,-0.3302903905682626,-0.34558995038108736,0.21668849240896326,0.24055029086915197
13007,2,4,True,True,-0.6804380965799327,0.4080053499767484,-0.642652700917133,0.3702199543139487,-0.4820000462371318,0.2095672996339475,-0.23170437506841593,-0.1676819507481163,-0.1658013214024847,0.1509126730539193,0.1453811978386111,-0.053765444589666915,0.05150381747543098,-0.0270466571187385,-0.03248640573407032,-0.35860163718089133,-0.2868239634327771,-0.2855682080382416,0.19843805034280093,0.16065265468000123
13009,5,5,False,False,0.4639423041147315,-0.04964518824379066,0.5094799079916734,-0.0951827921207326,0.49388514845083625,-0.07958803257989544,0.19578528665386027,0.1653557893936095,0.00493052335811129,0.7244111580145961,0.6790529996000224,0.0157405638214832,-0.17140523816429779,-0.1401095796464986,-0.09128727609566474,-0.23674882503445668,-0.2956142818208659,-0.5545824719341215,-0.02994284433610478,0.015594759540837166
13011,1,1,False,False,-0.5160007233173125,-0.2846857636505834,-0.4688605583740934,-0.3318259285938024,-0.48708457825819645,-0.31360190870969945,0.16334855550346966,0.2222077055824378,0.26338491967852934,0.7217709636894236,0.7175453458945272,0.7046287581535227,-0.0840183324839603,-0.0769413325310379,-0.045075581945198256,-0.3006812924793522,-0.3049109170283307,-0.3264121012577454,-0.02891614505911605,0.018224019884102938
13013,1,1,False,False,0.1895025687554484,-0.497152231382947,0.2535797921795251,-0.5612294548070237,0.27237759426634234,-0.5800272568938409,0.16619520653621048,0.2389516980567272,0.2596235774743625,0.7171599410314891,0.7206158417462547,0.7194363242945951,-0.09226358984246419,-0.0821494924247355,-0.07849197506694305,-0.2964083107302308,-0.3023370687166224,-0.3085884145957898,-0.08287502551089393,-0.01879780208681725
13015,1,1,False,False,-0.05656461308496033,-0.2863019655668523,-0.0578976216250734,-0.2849689570267392,-0.1235165189261554,-0.2193500597256572,0.12377502026607536,0.1279380164396996,0.1120140690127418,0.717821109593202,0.706177867569377,0.786563475262889,-0.04810793763137173,-0.0454235599946651,-0.012417909177948272,-0.26691356603404814,-0.2971477510315251,-0.26898012431474255,0.06695190584119509,0.065618897301082
13017,2,2,False,True,-0.0664495836338875,-0.5229354071881238,-0.1495703978408376,-0.4398145929811737,-0.4468038139107578,-0.14258117691125355,-0.27090331098904696,-0.2226390633701609,-0.5101678284634705,0.2104237511191391,0.2881313709055009,0.3919094424430158,0.0980398023856015,-0.0407371949436856,-0.020434746837333262,-0.3717258890994305,-0.3142250452560579,-0.3761598568521983,0.38035423027687026,0.29723341606992015
13019,2,2,False,True,-0.3127948633599473,-0.2941985854742211,-0.1729723837535506,-0.4340210650806178,-0.5264097270956026,-0.08058372173856576,-0.28754463634269634,-0.2514647721398071,-0.674335270401204,0.15221990716974493,0.1921330328918004,0.3097569809234225,0.09941967859830375,-0.0246208693739757,-0.0032763192850306377,-0.39354432386667315,-0.3183592493272114,-0.8833933384262298,0.21361486373565536,0.353437343342052
13021,5,3,True,True,0.5206150233567695,0.5451950389639821,0.5463220787914352,0.5194879835293164,0.9846259671848159,0.08118409513593572,0.15684504418868078,0.1014522479448807,-0.24968377424386318,0.5988671708019963,0.5484275547477853,0.4862871299235455,-0.16104662451406146,-0.1173104505902276,0.2463583976184135,-0.2653064085397653,-0.2863498097245532,-0.5291172845924453,0.4640109438280464,0.43830388839338064
13023,3,4,True,True,-0.08104035062760272,-0.032916273866168036,-0.0295281382351186,-0.0844284862586521,-0.08810887882925374,-0.025847745664517016,-0.06824174782632193,-0.0337400020953899,0.005760428100181014,0.41518351828795136,0.3971971827590944,0.470911044652769,-0.028273706420168934,-0.0926165142487303,0.02301497174237016,-0.3177618978543565,-0.2983000359017839,-0.2210456855671679,0.00706852820165102,0.05858074059413508
