model,bandwidth_spec,rss,rmse,mae,r2,trace_hat,aicc_fixed_partition
ordinary_gwr,adaptive k=116,51.082900556856075,0.5668122300472797,0.399432936791771,0.6787238958688298,11.912091033737672,298.9855995813665
k6_shared_bandwidth_regime_aware_gwr,one shared adaptive k=159 + regime mask,47.586618782594336,0.5470712116190672,0.36790500486402866,0.7007130894176457,27.58499129485223,329.6517492043414
k6_independent_regime_gwr,six independently selected within-regime bandwidths,43.100070636050596,0.5206434736379855,0.34497330816164706,0.7289303733581723,39.70185564133625,354.0114746822055
mgwr,variable-specific adaptive bandwidths,50.899379467870425,0.5657931454566466,0.4009779777838139,0.679878116554274,11.368250872698306,297.12013812258783
