edge_id,i,j,AreaKey_i,AreaKey_j,regime_i,regime_j,boundary_edge,gwr_PctFB_abs_jump,mgwr_PctFB_abs_jump,grgwr_PctFB_abs_jump,gwr_PctBlack_abs_jump,mgwr_PctBlack_abs_jump,grgwr_PctBlack_abs_jump,gwr_PctRural_abs_jump,mgwr_PctRural_abs_jump,grgwr_PctRural_abs_jump
0,0,2,13001,13005,6,6,False,0.02280693838601172,0.014984435734613,0.0387976650803319,0.014003399171197008,0.007941690121009704,0.0589938312927637,0.0008929432071019816,0.0009530968733753031,0.1359914099019175
1,0,79,13001,13161,6,4,True,0.008447065771585494,0.0073827429644943154,0.6655754097128884,0.0099379993676093,0.0030822876668017,0.23397483939655858,0.018983361503670304,0.0055745711596001946,0.28321412788678524
2,0,112,13001,13229,6,6,False,0.037455996517960805,0.026729712086334734,0.1627624504023516,0.010146856763101099,0.014550317018797401,0.07968041150901678,0.013584501249603531,0.0037083416683220127,0.013099528676082606
3,0,131,13001,13267,6,6,False,0.05188929118952709,0.031828795013704614,0.07976095030507281,0.0467185302875525,0.0233741615842233,0.05311269184929962,0.004112493129294292,0.002008610389360177,0.09312460909076914
4,0,137,13001,13279,6,4,True,0.0715042902620042,0.0440191155032455,0.7397775503066158,0.0482237390396435,0.028195609247374603,0.26088112815439196,0.020539516628386212,0.002694418972676582,0.2841603581435857
5,0,150,13001,13305,6,6,False,0.020255299323869325,0.012029659158500017,0.0647582628045782,0.0063157337580782985,0.005690944141848599,0.01641401658888403,0.024801193927727783,0.008281760806542082,0.15025877351804973
6,1,9,13003,13019,6,2,True,0.01290082789811639,0.03588965093000551,0.11317078609056153,0.004005897255303398,0.0020393010726632993,0.1399379156558636,0.018667452489497915,0.006953071999311,0.5058225131457224
7,1,31,13003,13065,6,6,False,0.023348317028939303,0.03423399276911951,0.1345774429000417,0.0009199058317233971,0.0090803846722694,0.016615551009108914,0.013853521668341362,0.004336939880535906,0.1029960701705025
8,1,33,13003,13069,6,2,True,0.01872973216071991,0.02854934494158301,0.1927539903400316,0.001304335377754498,0.006469887119084701,0.1318488869807108,0.006368641777284523,0.0014914548668147898,0.20603231121613158
9,1,85,13003,13173,6,6,False,0.024815588849006504,0.04941155022067681,0.07320500333089969,0.002986489504533299,0.0073628050955119005,0.01764658924775539,0.004663371058740096,0.0023011347176727925,0.05082063494480332
10,1,147,13003,13299,6,6,False,0.005446949632140596,0.0014719060477313972,0.15735878801990288,0.011261126452691603,0.0023062105703482993,0.0007293480126006058,0.02599984024558938,0.008461286627104325,0.11482505905214102
11,2,33,13005,13069,6,2,True,0.020933434560853392,0.022999905890014993,0.3499837513342582,0.021699563759080095,0.0042061929292287956,0.20450469622916498,0.01998985194697822,0.006469524108555003,0.23801318611555167
12,2,79,13005,13161,6,4,True,0.031254004157597215,0.022367178699107315,0.6267777446325565,0.004065399803587708,0.011023977787811404,0.17498100810379488,0.018090418296568322,0.004621474286224891,0.14722271798486772
13,2,112,13005,13229,6,6,False,0.014649058131949083,0.011745276351721734,0.12396478532201968,0.0038565424080959088,0.006608626897787698,0.02068658021625308,0.014477444456705513,0.004661438541697316,0.1490909385780001
14,2,147,13005,13299,6,6,False,0.0451101163537139,0.050077344783866606,0.31458854901412947,0.01174277268414299,0.012982290618661796,0.0733851572610548,0.01237863007589568,0.0034832173853641124,0.1468059339515611
15,3,18,13007,13037,4,4,False,0.024796160733494693,0.017067878978615808,0.00017656737736920086,0.0358621448924277,0.006572373100251501,0.0037252357894557997,0.003553098129618404,0.007869916934509003,0.0018280745030865297
16,3,42,13007,13087,4,4,False,0.019707240548254817,0.026244403405004488,0.011261154496194796,0.01788627575503459,0.008223700176874599,0.00043133913192199697,0.010414776478498033,0.005724294522836071,0.0018719006566528806
17,3,46,13007,13095,4,4,False,0.017143243075269182,0.017268257268323317,0.009992498262303598,0.0007011968582734049,0.0051398797752856,0.0028220020849764015,0.002843131321350667,0.0017915627070784756,0.0004964296248240463
18,3,48,13007,13099,4,4,False,0.008429363633161296,0.0012934436880189804,0.0071971842199144015,0.028478339815068202,0.0016803747946174986,0.005579167045881399,0.008343459786589236,0.0076108916283618155,0.0014088136764951464
19,3,99,13007,13201,4,4,False,0.01274710999898282,0.014195744784511993,0.008379948646328801,0.0048654702649953,0.0019668420794844987,0.003594087075290797,0.0034799951044933164,0.0022718056511280005,0.0001819314846174258
20,3,100,13007,13205,4,2,True,0.010320815148224222,0.009454937645023892,0.3075445155836484,0.0242182568549242,0.0032256777413996983,0.049793201986903,0.006515027386533534,0.009185368300101915,0.5518405823102206
21,4,69,13009,13141,5,5,False,0.018183170660002634,0.02053471378596472,0.1053726337986825,0.0023062002152735017,0.0023009035266253197,0.0795412350383736,0.011147433721727495,0.006318035303631564,0.04919432552127623
22,4,83,13009,13169,5,5,False,0.04383545430230207,0.031212735664335134,0.0279580296819242,0.0004423557246842069,0.008928649405066685,0.032732879429322195,0.012861528167818187,0.0039621120255218245,0.01768370064699698
23,4,116,13009,13237,5,5,False,0.0010263616482678595,0.03549790595483027,0.0444281998345188,0.006828780633964304,0.004987647495422992,0.016141272821458205,0.02588067902399782,0.003345826945404695,0.01875780347482081
24,4,149,13009,13303,5,5,False,0.034853798377156964,0.06674693678937538,0.2131324177604145,0.029200143363437292,0.003497787025712684,0.0637799774180583,0.014577371407573314,0.011212912966333977,0.007384418088221323
25,4,157,13009,13319,5,5,False,0.05127898737935921,0.08165246435547346,0.0722062436256846,0.03125812584270071,0.008800417295873997,0.017634578486584604,0.012037847915641192,0.0014118628511705644,0.0003157634771523421
