AreaKey,regime,regime_local_k,unified_fitted_z,reference_independent_fitted_z,delta_fitted,unified_Intercept,reference_independent_Intercept,delta_Intercept,unified_PctFB,reference_independent_PctFB,delta_PctFB,unified_PctBlack,reference_independent_PctBlack,delta_PctBlack,unified_PctRural,reference_independent_PctRural,delta_PctRural
13001,6,21,-0.508281416741631,-0.5082814167416311,1.1102230246251565e-16,-0.2914399495514953,-0.2914399495514953,0.0,0.047318385946188576,0.0473183859461886,-2.0816681711721685e-17,0.278431094861731,0.278431094861731,0.0,-0.455536019268502,-0.4555360192685021,1.1102230246251565e-16
13003,6,21,-0.7487108955295299,-0.7487108955295299,0.0,-0.23179684233776016,-0.2317968423377601,-5.551115123125783e-17,0.26593614362228557,0.2659361436222854,1.6653345369377348e-16,0.26951410971116485,0.2695141097111647,1.6653345369377348e-16,-0.548505837628102,-0.548505837628102,0.0
13005,6,21,-0.3978491672599389,-0.3978491672599389,0.0,-0.2861073147149252,-0.2861073147149252,0.0,0.14432664230091843,0.1443266423009184,2.7755575615628914e-17,0.23835648266031015,0.23835648266031,1.3877787807814457e-16,-0.48997522939920446,-0.4899752293992044,-5.551115123125783e-17
13007,2,19,-0.4843255508317834,-0.4843255508317833,-1.1102230246251565e-16,-0.44318239924694447,-0.4431823992469444,-5.551115123125783e-17,0.022100220635692863,0.0221002206356928,6.245004513516506e-17,0.24886676666946367,0.2488667666694637,-2.7755575615628914e-17,-0.3365493457759026,-0.3365493457759025,-1.1102230246251565e-16
13009,5,27,0.5392697686751088,0.5392697686751088,0.0,0.08197483754674162,0.0819748375467415,1.249000902703301e-16,0.24457422643103632,0.2445742264310363,2.7755575615628914e-17,-0.112535322693925,-0.112535322693925,0.0,-0.4869844329522069,-0.4869844329522069,0.0
13011,1,53,-0.4663812861885074,-0.4663812861885076,2.220446049250313e-16,0.34789993482219045,0.3478999348221901,3.3306690738754696e-16,0.6624964861831252,0.6624964861831252,0.0,-0.007117498582935311,-0.0071174985829352,-1.1102230246251565e-16,-0.36128529525712505,-0.3612852952571249,-1.6653345369377348e-16
13013,1,53,0.28999488417027425,0.2899948841702743,-5.551115123125783e-17,0.31512028549293114,0.3151202854929312,-5.551115123125783e-17,0.7050122900834345,0.7050122900834345,0.0,-0.03471338176777877,-0.0347133817677787,-6.938893903907228e-17,-0.30837280336610684,-0.3083728033661066,-2.220446049250313e-16
13015,1,53,-0.12443306324747,-0.1244330632474701,9.71445146547012e-17,0.10901671031057625,0.1090167103105761,1.5265566588595902e-16,0.784774973240174,0.7847749732401741,-1.1102230246251565e-16,-0.0146347911356568,-0.0146347911356567,-9.8879238130678e-17,-0.2727310546184291,-0.2727310546184291,0.0
13017,2,19,-0.3909592099601823,-0.3909592099601823,0.0,-0.4557147867367045,-0.4557147867367045,0.0,0.2828142028263267,0.2828142028263267,0.0,0.3082692946978667,0.3082692946978667,0.0,-0.20809612336541797,-0.2080961233654178,-1.6653345369377348e-16
13019,2,19,-0.6699118498703864,-0.6699118498703865,1.1102230246251565e-16,-0.48579882440853717,-0.4857988244085371,-5.551115123125783e-17,0.2423678032663487,0.2423678032663487,0.0,0.2576402195655412,0.2576402195655412,0.0,-0.26361252566162796,-0.2636125256616279,-5.551115123125783e-17
13021,5,27,0.9077033795203985,0.9077033795203986,-1.1102230246251565e-16,0.06683726562333281,0.0668372656233328,1.3877787807814457e-17,0.2866183018222171,0.2866183018222172,-1.1102230246251565e-16,-0.1047538453846518,-0.1047538453846518,0.0,-0.4714382012147063,-0.4714382012147063,0.0
13023,3,17,-0.1917620269947562,-0.1917620269947561,-8.326672684688674e-17,-0.14724964291149356,-0.1472496429114935,-5.551115123125783e-17,0.44663349641631295,0.446633496416313,-5.551115123125783e-17,0.08949907248556993,0.0894990724855699,2.7755575615628914e-17,-0.35082291052108366,-0.3508229105210837,5.551115123125783e-17
13025,6,21,-1.2185685108283115,-1.2185685108283113,-2.220446049250313e-16,-0.20066718548925225,-0.2006671854892522,-5.551115123125783e-17,0.08618465442077174,0.0861846544207717,4.163336342344337e-17,0.23343752403196288,0.2334375240319629,-2.7755575615628914e-17,-0.5929446544547902,-0.59294465445479,-1.1102230246251565e-16
13027,2,19,-0.23163885913452503,-0.231638859134525,-2.7755575615628914e-17,-0.5799371938528884,-0.5799371938528884,0.0,0.17169744476304166,0.1716974447630416,5.551115123125783e-17,0.21289164749694872,0.2128916474969487,2.7755575615628914e-17,-0.5174760870907595,-0.5174760870907595,0.0
13029,6,21,-0.505155219779464,-0.505155219779464,0.0,-0.15609148349064988,-0.1560914834906498,-8.326672684688674e-17,-0.10852994176632078,-0.1085299417663207,-6.938893903907228e-17,0.2440481831144118,0.2440481831144118,0.0,-0.6024545439835788,-0.6024545439835788,0.0
13031,4,22,0.033445182696095394,0.0334451826960954,-6.938893903907228e-18,-0.05706660952438242,-0.0570666095243823,-1.1796119636642288e-16,0.02140856644044259,0.0214085664404425,9.020562075079397e-17,-0.09525722258964764,-0.0952572225896476,-4.163336342344337e-17,-0.31766062212588625,-0.3176606221258862,-5.551115123125783e-17
13033,5,27,-0.3520364382548032,-0.352036438254803,-1.6653345369377348e-16,0.14848164335903064,0.1484816433590307,-5.551115123125783e-17,0.41287695738062163,0.4128769573806214,2.220446049250313e-16,-0.16209100508656232,-0.1620910050865623,-2.7755575615628914e-17,-0.4289162630105161,-0.4289162630105162,1.1102230246251565e-16
13035,5,27,-0.1378062403485387,-0.1378062403485386,-8.326672684688674e-17,0.09088300372291136,0.0908830037229113,5.551115123125783e-17,0.3662573845219551,0.366257384521955,1.1102230246251565e-16,-0.11560397482569734,-0.1156039748256973,-4.163336342344337e-17,-0.44086012585454276,-0.4408601258545426,-1.6653345369377348e-16
13037,4,22,-0.47554022982199917,-0.475540229821999,-1.6653345369377348e-16,-0.04638499526717177,-0.0463849952671717,-6.938893903907228e-17,-0.09103048640583633,-0.0910304864058362,-1.249000902703301e-16,-0.1924154764506355,-0.1924154764506354,-1.1102230246251565e-16,-0.14092016680430863,-0.1409201668043086,-2.7755575615628914e-17
13039,6,21,0.3332259010258091,0.333225901025809,1.1102230246251565e-16,-0.14694297698751446,-0.1469429769875144,-5.551115123125783e-17,0.03095049437935994,0.0309504943793599,4.163336342344337e-17,0.2294404335085019,0.229440433508502,-8.326672684688674e-17,-0.6439986551180307,-0.6439986551180307,0.0
13043,4,22,0.12144989487742014,0.1214498948774201,4.163336342344337e-17,-0.060890832983934856,-0.0608908329839348,-5.551115123125783e-17,0.019151790220959614,0.0191517902209596,1.3877787807814457e-17,-0.1064097270078268,-0.1064097270078268,0.0,-0.30896313515887197,-0.3089631351588719,-5.551115123125783e-17
13045,1,53,-0.03066057411821141,-0.0306605741182112,-2.0816681711721685e-16,0.12867161645213993,0.12867161645214,-8.326672684688674e-17,0.8473589767716871,0.847358976771687,1.1102230246251565e-16,-0.0317341372825527,-0.0317341372825527,0.0,-0.19475022755452728,-0.1947502275545272,-8.326672684688674e-17
13047,1,53,-0.14191360273646766,-0.141913602736468,3.3306690738754696e-16,0.09950125083659833,0.099501250836598,3.3306690738754696e-16,0.7697483622527148,0.7697483622527147,1.1102230246251565e-16,0.026084789428925337,0.0260847894289254,-6.245004513516506e-17,-0.2656272171994566,-0.2656272171994566,0.0
13049,6,21,-0.9700215929658402,-0.9700215929658402,0.0,-0.206250712900015,-0.206250712900015,0.0,0.21574556693980768,0.2157455669398076,8.326672684688674e-17,0.2339275021219766,0.2339275021219767,-8.326672684688674e-17,-0.5749265198761263,-0.5749265198761263,0.0
13051,6,21,1.3907172072141283,1.3907172072141285,-2.220446049250313e-16,-0.13957930216294873,-0.1395793021629487,-2.7755575615628914e-17,-0.12399920509189688,-0.1239992050918968,-8.326672684688674e-17,0.2274318691233877,0.2274318691233876,1.1102230246251565e-16,-0.615689322475015,-0.615689322475015,0.0
13053,3,17,1.80794191731843,1.80794191731843,0.0,0.022647517108068033,0.022647517108068,3.122502256758253e-17,0.28528144348062107,0.2852814434806211,-5.551115123125783e-17,-0.14565091261701119,-0.1456509126170111,-8.326672684688674e-17,-0.247155793834134,-0.2471557938341339,-8.326672684688674e-17
