regime,n,connected,articulation_like_nodes,internal_queen_edges,incident_boundary_edges,wcss_contribution,mean_distance_to_center,max_distance_to_center,mean_z_PctFB,std_z_PctFB,mean_raw_PctFB,mean_z_PctBlack,std_z_PctBlack,mean_raw_PctBlack,mean_z_PctRural,std_z_PctRural,mean_raw_PctRural
1,53,True,1,130,20,11.270337852653235,0.4209202936190093,0.9328136556752356,0.9755197282950168,0.12052613343280065,0.7064603859840192,-0.39360999956670534,0.336152572370996,-0.07577333568866083,0.7555298664010557,0.2917580903084372,-0.28157718066708876
2,19,True,0,38,26,2.1491642818957652,0.31724903502812785,0.4820025311686019,-1.3497408387536214,0.1528865999920416,0.1600404397951702,1.5083148121188066,0.22587433682380975,0.08390697241642024,-0.6912558921235742,0.19677495033855036,-0.3692415045118872
3,17,True,5,27,46,6.403458591681007,0.5886629987539658,0.9789379994212284,-0.19016898660167375,0.2740599082594065,0.4325317029395805,-0.4690669708524162,0.3905059550697969,-0.08210849276193156,0.07821653177026389,0.38609623223315265,-0.3226172691263665
4,22,True,7,35,53,10.591375210665309,0.6675578318792458,1.0360205387052859,-0.9049883308996418,0.2535934140602102,0.26455416391400516,0.47143623725170375,0.43313360187427885,-0.0031464638104339413,-0.7145078439405236,0.479073907880645,-0.3706503977236805
5,27,True,0,59,36,4.6033934250095045,0.37790963720750415,0.6982031139333731,0.8293094301424858,0.2454760198289008,0.6721019900343707,-1.3452180916057674,0.14974762088381666,-0.15566769975525235,0.9313264663251369,0.29633296560917355,-0.27092523031731847
6,21,True,2,40,23,6.158550676405682,0.4948154232474002,1.0052327920769504,-1.2050575345306471,0.1849845386784721,0.19404000286705742,1.2441323002422557,0.39553546071848367,0.06172694477640159,-1.793597334909035,0.32030725512889924,-0.43603509620885844
